name	CAS_num	aroma	flavor
1-(4-Methoxyphenyl)-4-Methyl-1-Penten-3-One	103-13-9	sweet fruity dairy fatty brown	fruity fatty dairy
1-(5,5-Dimethyl-1-cyclohexen-1-yl)-4-penten-1-one	56973-85-4	fruity floral earthy|woody	
1-(Methylthio)-2-Butanone	13678-58-5	sharp|bitter brown earthy|fungal	
1-(P-Methoxyphenyl)-1-Penten-3-One	104-27-8	fatty dairy	fruity fatty dairy
1-(P-Methoxyphenyl)-2-Propanone	122-84-9	sharp|sulfurous sharp|sour vegetal|herbal	vegetal|herbal
1-Butanethiol	109-79-5	sharp|sulfurous	vegetal
1-Decanol	112-30-1	fruity floral	floral
1-Decen-3-Ol	51100-54-0		savory|meaty vegetal dairy
1-Ethoxy-3-Methyl-2-Butene	22094-00-4	sweet fruity	sweet
1-Ethyl-2-Acetylpyrrole	39741-41-8	earthy|nutty	
1-Ethylhexyl Tiglate	94133-92-3	sharp|spicy vegetal|herbal	
1-Hexadecanol	36653-82-4	dairy	
1-Hexanethiol	111-31-9	savory|meaty sharp|sulfurous savory|cooked sharp|bitter fatty	savory|cooked sharp|bitter
1-Hexen-3-Ol	4798-44-1	savory|meaty	
1-Hydroxy-2-Butanone	5077-67-8		brown
1-Menthyl Methyl Ether	1565-76-0	sweet	fruity
1-Mercapto-2-Propanone	24653-75-6	savory|meaty	savory|meaty savory|cooked
1-Methyl-1H-Pyrrole-2-Carboxaldehyde	1192-58-1	dairy	vegetal fruity
1-Methyl-2,3-Cyclohexadione	3008-43-3	sharp|sour savory|cooked sharp|bitter	vegetal
1-Methyl-2-Acetylpyrrole	932-16-1	brown vegetal|vegetable sharp|bitter starchy|bready	
1-Methylnaphthalene	"78900-94-4
90-12-0
1321-94-4"	earthy fatty	
1-Methylthio-2-Propanone	14109-72-9	fruity	vegetal
1-Octanol	111-87-5	fruity|citrusy	vegetal|herbal
1-Octen-3-Ol	"50999-79-6
3391-86-4"	earthy vegetal|herbal	vegetal earthy|fungal vegetal|herbal
1-Octen-3-One	4312-99-6	earthy|fungal	
1-Octen-3-Yl Acetate	2442-10-6	floral earthy|fungal sharp|chemical	
1-Octen-3-Yl Butyrate	16491-54-6	sharp|repugnant sweet fruity fruity|berry dairy fatty earthy earthy|fungal	earthy savory|fishy earthy|fungal sharp|repugnant
1-Octene	111-66-0		vegetal
1-P-Menthene-8-Thiol	71159-90-5	sharp|sulfurous sharp|bitter fruity|citrusy	sharp|bitter fruity|citrusy
1-Pentanethiol	110-66-7	savory|meaty	dairy
1-Penten-3-Ol	616-25-1	vegetal	
1-Penten-3-One	1629-58-9	sharp|spicy	
1-Phenyl-1,2-Propanedione	579-07-7	fatty dairy	sharp|sour starchy|bready
1-Phenyl-1-Propanol	"93842-54-7
93-54-9"		sweet floral brown
1-Phenyl-3 Or 5-Propylpyrazole	65504-93-0	savory|cooked	
1-Phenyl-3-Methyl-3-Pentanol	10415-87-9	fruity floral	fruity
1-Terpinen-4-ol	562-74-3	earthy floral	
1-[[2-(1,1-Dimethylethyl)cyclohexyl]oxy]-2-butanol,	139504-68-0	earthy|woody	
1-p-Menthene-8-thiol	71159-90-5	sharp|bitter fruity|citrusy	
10-Hydroxymethylene-2-Pinene		earthy|woody dairy	
10-Undecen-1-Yl Acetate	112-19-6	floral	
10-Undecen-2-One	36219-73-5	fruity|citrusy	
10-Undecenal	112-45-8	floral sharp|chemical	
10-Undecenal	112-45-8	floral	
10-Undecenoic Acid	112-38-9	sharp|sour fatty	
11-Dodecenoic Acid	65423-25-8	dairy fatty fruity|citrusy	
12-Methyltridecanal	75853-49-5	savory|meaty savory|cooked	savory|meaty vegetal
12-Oxa-16-hexadecanolide	6707-60-4	sweet floral earthy|woody	
15-Pentadecanolide	106-02-5	earthy|woody	sharp|sour
2 Or 5 Or 6-Methoxy-3-Methylpyrazine (Mixture Of Isomers)	68378-13-2	brown earthy|nutty sharp|bitter	earthy|nutty
2(10)-Pinen-3-Ol	5947-36-4	earthy|woody vegetal|herbal	
2,2,3-Trimethylcyclopent-3-En-1-Yl Acetaldehyde	4501-58-0	earthy|woody	
2,2,4-Trimethyl-1,3-Oxacyclopentane	1193-11-9	sharp|repugnant	
2,2,5-Trimethyl-5-pentylcyclopentanone	65443-14-3	fruity floral	
2,2-Dimethyl-3-(3-methylphenyl)propanol	103694-68-4	floral	
2,2-Dimethyl-5-(1-Methylpropen-1-Yl)-Tetrahydrofuran	7416-35-5	fruity|citrusy	
2,2ʹ-(Dithiodimethylene)-Difuran			savory|cooked
2,2ʹ-(Thiodimethylene) Difuran		sharp|sulfurous	
2,3,5,6-Tetramethylpyrazine	1124-11-4	sharp|bitter brown sharp|repugnant	brown|vanilla brown|chocolate sharp|bitter
2,3,5-Trimethylpyrazine	14667-55-1	starchy savory|cooked earthy|nutty	
2,3,5-Trithiahexane	42474-44-2	vegetal|allium	
2,3,6,6-tetramethyl-2-cyclohexenecarboxylate	77851-07-1	fruity floral sharp|spicy earthy|woody	
2,3,6-Trimethylphenol	2416-94-6	savory|cooked	sharp|spicy
2,3-Butanedione	431-03-8	fruity savory|cooked fatty dairy	fruity|citrusy
2,3-Diethyl-5-Methylpyrazine	18138-04-0	vegetal savory|cooked earthy|nutty	sharp|repugnant
2,3-Diethylpyrazine	15707-24-1	earthy|nutty	vegetal|vegetable earthy|nutty sharp|repugnant
2,3-Dimethylbenzofuran	3782-00-1	sharp|spicy earthy|nutty	savory|meaty savory|cooked fatty
2,3-Dimethylpyrazine	5910-89-4	brown|chocolate earthy|nutty sharp|bitter	sharp|repugnant
2,3-Heptanedione	96-04-8	dairy	fatty dairy
2,3-Hexanedione	3848-24-6	fatty dairy	fatty dairy
2,3-Octanedione	585-25-1	dairy	
2,3-Pentanedione	600-14-6	fatty dairy	starchy fatty dairy
2,3-Undecadione	7493-59-6	brown fatty dairy	brown dairy
2,4,4,7-Tetramethyl-6-octen-3-one	74338-72-0	sharp|sour	
2,4,5-Trimethyl Thiazole	13623-11-5		brown brown|chocolate earthy|nutty sharp|bitter
2,4,5-Trimethyl-Δ-3-Oxazoline	22694-96-8	earthy|woody earthy|nutty	sharp|repugnant
2,4,6-Triisobutyl-5,6-Dihydro-4H-1,3,5-Dithiazine	74595-94-1	savory|meaty savory|cooked	
2,4,6-Trimethyl-4-phenyl-1,3-dioxane	5182-36-5	fruity|citrusy sharp|bitter vegetal|herbal	
2,4,6-Trimethyldihydro-4H-1,3,5-Dithiazine	638-17-5	savory|meaty savory|cooked	vegetal
2,4,6-Trimethylphenol	527-60-6	dairy	vegetal fruity
2,4,6-Trithiaheptane	6540-86-9	sharp|sulfurous savory|cooked brown	savory|meaty vegetal earthy|fungal
2,4-Difurfurylfuran	64280-32-6	fruity floral	fruity floral starchy
2,4-Dihydroxybenzoic Acid	89-86-1		vegetal sharp|sour
2,4-Dimethyl-1,3-Dioxolane	3390-12-3	fruity dairy	fruity
2,4-Dimethyl-2-Pentenoic Acid	66634-97-7		sharp|sour
2,4-Dimethyl-3-Oxazoline	77311-02-5	savory|meaty	savory|meaty fruity
2,4-Dimethyl-4-Nonanol	74356-31-3	fruity dairy	
2,4-Dimethyl-5-Acetylthiazole	38205-60-6	sharp|sulfurous savory|cooked earthy|nutty	earthy|nutty
2,4-Dimethyl-5-Vinylthiazole	65505-18-2	dairy	earthy|nutty
2,4-Dimethylacetophenone	89-74-7	floral earthy|woody	brown
2,4-Dimethylanisole	6738-23-4	sharp|spicy vegetal|herbal	
2,4-Dimethylbenzaldehyde	15764-16-6	sharp|bitter earthy|nutty	
2,4-Dimethylpyridine	108-47-4	sweet	vegetal
2,4-Heptadienal	4313-03-5	fatty vegetal|vegetable fruity|berry vegetal|herbal	starchy vegetal|vegetable
2,4-Hexadien-1-Ol		vegetal sharp|repugnant	vegetal fruity liquorlike
2,4-Hexadienyl Acetate	1516-17-2	fruity	fruity sharp|bitter sharp|chemical vegetal|herbal
2,4-Hexadienyl Butyrate	16930-93-1	fruity liquorlike dairy	fruity
2,4-Hexadienyl Isobutyrate	16491-24-0	fruity vegetal|herbal	fruity
2,4-Hexadienyl Propionate		fruity liquorlike	fruity
2,4-Nonadien-1-Ol	62488-56-6	vegetal	savory|meaty fatty
2,4-Nonadienal		floral	vegetal|vegetable dairy
2,4-Undecadienal			vegetal
2,5,5-Trimethyl-1,2,3,4,4a,5,6,7-octahydronaphthalen-2-ol	41199-19-3	sharp|repugnant	
	123-32-0	earthy|nutty	
2,5-Diethyl-3-Methylpyrazine	32736-91-7	savory|meaty savory|cooked earthy|nutty starchy|bready	
2,5-Diethyltetrahydrofuran	41239-48-9	sweet dairy brown vegetal|herbal	
2,5-Dihydroxy-1,4-Dithiane	40018-26-6	savory|meaty savory|cooked sharp|sulfurous starchy|bready	savory|cooked vegetal|vegetable sharp|chemical starchy|bready
2,5-Dimethyl-2,5-Dihydroxy-1,4-Dithiane	55704-78-4	savory	vegetal|allium savory|cooked savory|meaty
2,5-Dimethyl-3(2H)-Furanone	14400-67-0	sweet fruity brown	savory|meaty sweet fruity starchy|bready brown
2,5-Dimethyl-3-Furanthiol	55764-23-3	savory|meaty sharp|sulfurous	savory|meaty vegetal|vegetable
2,5-Dimethyl-3-Furanthiol Acetate	55764-22-2	fruity floral	
2,5-Dimethyl-3-Oxo-(2H)-Fur-4-Yl Butyrate	114099-96-6	sharp|spicy	
2,5-Dimethyl-3-Thiofuroylfuran	55764-31-3	savory|meaty savory|cooked	
